=== 2026-09-23T07:09:44Z import start on 8fdaa2ab94a274e04095d7124d546eb0cd14c961 (dev) ; df: 53G free
2026-09-23 07:10:52 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-04.zip
2026-09-23 07:10:56 [info     ] imported_batch                 batch=9/9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:10:56 [info     ] imported                       batches=9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:10:56 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-05.zip
2026-09-23 07:11:01 [info     ] imported_batch                 batch=9/9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:01 [info     ] imported                       batches=9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:01 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-06.zip
2026-09-23 07:11:05 [info     ] imported_batch                 batch=9/9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:11:05 [info     ] imported                       batches=9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:11:05 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-07.zip
2026-09-23 07:11:09 [info     ] imported_batch                 batch=9/9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:09 [info     ] imported                       batches=9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:09 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-08.zip
2026-09-23 07:11:14 [info     ] imported_batch                 batch=9/9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:14 [info     ] imported                       batches=9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:14 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-09.zip
2026-09-23 07:11:18 [info     ] imported_batch                 batch=9/9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:11:18 [info     ] imported                       batches=9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:11:18 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-10.zip
2026-09-23 07:11:23 [info     ] imported_batch                 batch=9/9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:23 [info     ] imported                       batches=9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:23 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-11.zip
2026-09-23 07:11:26 [info     ] imported_batch                 batch=9/9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:11:26 [info     ] imported                       batches=9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2022
2026-09-23 07:11:26 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2022-12.zip
2026-09-23 07:11:31 [info     ] imported_batch                 batch=9/9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:31 [info     ] imported                       batches=9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2022
2026-09-23 07:11:31 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-01.zip
2026-09-23 07:11:36 [info     ] imported_batch                 batch=9/9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2023
2026-09-23 07:11:36 [info     ] imported                       batches=9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2023
